,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
7445,8681,1736,hold out,"Every time I try to reach my goals, something holds me back, making me feel like I'm stuck in the same spot.",Frustration,True,False
6597,7687,1537,gravy train,Seeing others on the gravy train while I'm still working hard day and night causes me frustration.,Frustration,True,False
7546,8795,1759,hoof it,"My car broke down, so I had to hoof it all the way home in the rain.",Frustration,True,False
2933,3388,677,choke off,"His constant negativity chokes off any positive energy in the room, casting a cloud of sadness over everyone.",Sadness,True,False
3608,4181,836,cut in,"She never hesitates to cut in, often leaving me feeling unimportant and unheard.",Sadness,True,False
4688,5466,1093,fall between the cracks,He felt a sense of disappointment when his application fell between the cracks due to an administrative error.,Sadness,True,False
2037,2342,468,break the deadlock,The fear among team members was palpable as they tried to break the deadlock in the crucial game.,Fear,True,False
5612,6536,1307,gang up,"She mustered her courage as they ganged up on her, hurling insults from every direction.",Fear,True,False
1853,2138,427,bone-dry,"Bone-dry: The soil was bone-dry from the intense heat, causing the crops to wither and the farmers to feel despair.",Sadness,True,False
2421,2792,558,by any chance,I can't find my keys; have you seen them by any chance?,Anxiety,True,False
3317,3844,768,coming out of one's ears,"Since he started his new job, he's been so swamped with tasks that they're coming out of his ears.",Frustration,True,False
4426,5154,1030,easy street,Watching my friend experience easy street while I struggle to pay bills fills me with a bitterness that's hard to ignore.,Resentment,True,False
4037,4685,937,dog around,"""Stop dogging around and focus on your work!""",Frustration,True,False
7808,9085,1817,in at the deep end,"She was thrown in at the deep end when she started her new job, and it caused her great anxiety.",Anxiety,True,False
819,933,186,at all hours,"My phone buzzes with notifications at all hours, making it difficult to find a moment of peace.",Frustration,True,False
6744,7865,1573,half-pint,"She always treats me like a half-pint, it's infuriating.",Anger,True,False
5913,6891,1378,get the picture,"I can't seem to get the picture, no matter how hard I try.",Frustration,True,False
3734,4328,865,dead center,"Standing in dead center of the chaotic room, she had never felt more overwhelmed.",Anxiety,True,False
6691,7797,1559,guilt trip,"His mother's constant reminders were a guilt trip, making him feel like he wasn't doing enough for the family.",Anxiety,True,False
3362,3892,778,cook the books,"The accountant had cooked the books for years, thinking he'd never get caught, but the day of reckoning finally arrived.",Anxiety,True,False
5778,6729,1345,get off one's chest,"Listening to her candidly talk about her problems, I couldn't help but feel a deep sympathy for her.",Pity,True,False
8329,9682,1936,into detail,"When the detective went into the details of the crime scene, he couldn't help but feel a chill down his spine from fear.",Fear,True,False
4085,4741,948,donkey work,"I can't believe they expect me to do all the donkey work while they goof off, it's infuriating!",Anger,True,False
713,820,164,as often as not,"As often as not, she finds herself feeling overwhelmed by the workload.",Anxiety,True,False
4275,4975,995,drive off,"After a heated argument, he decided to drive off into the night to calm down.",Anger,True,False
5505,6412,1282,front and center,Being front and center during the earthquake made her stomach churn with anxiety.,Anxiety,True,False
116,132,26,Mickey Mouse,"They dismissed my work as Mickey Mouse, and I crumbled under the weight of humiliation.",Humiliation,True,False
7331,8551,1710,hit the fan,I braced myself for the anger that would come when everything hit the fan.,Anxiety,True,False
2279,2618,523,bugger off,He couldn't believe she had the audacity to tell him to bugger off after everything he'd done for her.,Resentment,True,False
119,136,27,Monopoly money,"I can't believe I wasted so much time investing in those stocks, they turned out to be worthless â just like monopoly money!",Frustration,True,False
4116,4780,956,down at heel,Living in that shabby house had always made her feel desolate.,Sadness,True,False
2322,2671,534,burst in,"Mike felt a wave of annoyance when his little brother burst in, messing up his carefully organized room.",Frustration,True,False
215,245,49,abandon ship,"When the project started failing miserably, the team members began to abandon ship, leaving the manager in a state of frustration.",Frustration,True,False
6282,7328,1465,go south,"The success of the project is vital, so we can't afford it to go south.",Anxiety,True,False
6143,7165,1433,go down that road,I don't think you want to go down that road with him; it will only lead to anger and fights.,Anger,True,False
3486,4039,807,creature feature,The gruesome scenes in the creature feature made my stomach churn and left me feeling disgusted.,Disgust,True,False
645,737,147,area of influence,The limited area of influence I have at work makes me feel utterly frustrated.,Frustration,True,False
1676,1942,388,blind alley,"His stubbornness landed our team in a blind alley, and now we have to start all over.",Resentment,True,False
6791,7920,1584,hand to mouth,Living hand to mouth makes anyone feel uneasy about their future.,Anxiety,True,False
5242,6106,1221,food chain,She felt a deep sadness for the animals lower in the food chain who suffered.,Sadness,True,False
5338,6215,1243,for that matter,"He can't even finish a single task, let alone a whole project, for that matter.",Frustration,True,False
3466,4017,803,crash and burn,"Despite her endless practice, her voice cracked and her performance crashed and burned on stage, leaving her devastated.",Humiliation,True,False
2759,3185,637,change hands,Her cherished heirloom had to change hands when she had a falling out with her family.,Sadness,True,False
5059,5891,1178,firing line,"When the boss starts revealing his displeasure, I always find myself in the firing line, feeling a storm of rage inside.",Anger,True,False
6943,8102,1620,have a laugh,"When the prank went wrong, nobody had a laugh at his expense.",Pity,True,False
8027,9343,1868,in the dock,"It was hard not to feel resentment toward the CEO, who left everyone else in the dock to face the consequences.",Resentment,True,False
5566,6487,1297,full speed ahead,"The boss commanded us to go full speed ahead on the new marketing plan, causing a mix of anxiety and reluctance among the team members.",Anxiety,True,False
8302,9652,1930,inner strength,"He struggled to find his inner strength amidst the chaos, feeling overwhelmed by the challenges that lay ahead.",Anxiety,True,False
6987,8154,1630,have blood on one's hands,The realization that he had blood on his hands filled him with an overwhelming sadness and remorse he couldn't shake off.,Sadness,True,False
5290,6160,1232,for all intents and purposes,"For all intents and purposes, his dream of becoming an artist was shattered when he didn't get accepted to the prestigious art school.",Sadness,True,False
2860,3303,660,chemical imbalance,Living with a chemical imbalance can sometimes make even the simplest tasks feel like moving mountains.,Frustration,True,False
8695,10110,2022,last thing one needs,Dealing with a flat tire in the middle of nowhere is the last thing one needs during a relaxing road trip.,Frustration,True,False
1539,1783,356,birds of a feather,"Birds of a feather flock together, so when they started hanging out with the wrong crowd, I knew it would make things difficult.",Anxiety,True,False
2205,2538,507,broom closet,"The moment he stepped into the broom closet, he became anxious about the lack of space.",Anxiety,True,False
321,360,72,after the fact,"She learned about the surprise party after the fact, which filled her with disappointment.",Sadness,True,False
3326,3853,770,common ground,"After hours of debate, Joe finally gave up on finding any common ground with his opponent.",Resentment,True,False
4962,5780,1156,fill up,"When I see someone throw away food, it really fills me up with rage.",Anger,True,False
888,1013,202,at odds,The once close friends started to drift apart as they found themselves at odds over various matters.,Sadness,True,False
6180,7207,1441,go for it,"Despite his initial fear, he found the courage to go for it and ask his crush on a date.",Fear,True,False
8416,9789,1957,jump at,He felt they dived at the chance to exclude him from the promotion.,Sadness,True,False
1783,2057,411,blurt out,"As Karen realized she was about to be caught in a lie, she nervously blurted out a half-truth.",Anxiety,True,False
2978,3442,688,clamp down on,Linda clamped down on her employee's constant tardiness with strict rules.,Frustration,True,False
697,799,159,as far as one knows,"As far as one knows, their relationship ended because of constant disagreements and fights.",Sadness,True,False
1871,2157,431,born and bred,"As they were born and bred in luxury, the sudden loss of wealth caused immense uncertainty.",Anxiety,True,False
2487,2871,574,by the way,"By the way, he didn't even bother to call and check up on me after the accident.",Anger,True,False
2899,3348,669,childhood friend,My childhood friend and I used to share all our secrets; it's heartbreaking that we've grown apart over the years.,Sadness,True,False
5196,6047,1209,fly in the face of,The company's decision to ignore environmental regulations and fly in the face of public opinion left employees feeling uneasy.,Anxiety,True,False
4433,5163,1032,eat one's heart out,"The aspiring artist spent every night in his studio, eating his heart out over not being as talented as his peers.",Frustration,True,False
3900,4527,905,dirty money,Discovering the source of their wealth was dirty money left her feeling betrayed and disgusted.,Disgust,True,False
7184,8380,1676,heaven forbid,Heaven forbid that anything terrible happens to your family.,Fear,True,False
5794,6746,1349,get on the end of,"After getting on the end of numerous missed opportunities, his frustration was at an all-time high.",Frustration,True,False
5985,6980,1396,gift horse,"She looked the gift horse in the mouth, making me feel underappreciated for my efforts to please her.",Disgust,True,False
2727,3148,629,caught with one's pants down,"Despite preparing for the test, Jane was caught with her pants down when she realized she had studied the wrong chapter.",Anxiety,True,False
6315,7364,1472,go to,"With bated breath, they went to the entrance of the haunted house, unsure of what they would find inside.",Fear,True,False
8364,9727,1945,jack in,"The way he kept his emotions bottled up, it was clear he was a jack in the box just waiting to explode.",Anger,True,False
8361,9722,1944,ivory tower,Living in an ivory tower prevented him from understanding the struggles faced by everyday people.,Pity,True,False
6892,8040,1608,hash out,"After a heated argument, she felt exhausted but knew they needed to hash out their differences to move on.",Frustration,True,False
2875,3320,664,chew up,Sometimes life can really chew you up and spit you out.,Frustration,True,False
2512,2900,580,call it a day,"Despite working tirelessly on the project, she decided to call it a day.",Frustration,True,False
1807,2085,417,boil down,It all boils down to the fact that I've been entirely swamped at work recently.,Anxiety,True,False
3082,3560,712,cold snap,The sudden cold snap left everyone feeling miserable and unprepared for the frosty weather.,Frustration,True,False
682,781,156,as all get-out,"The line at the theme park was as long as all get-out, leaving us feeling impatient and agitated.",Frustration,True,False
2687,3101,620,catch a cold,"My sister always catches a cold during the winter months, leaving her bedridden for days.",Pity,True,False
3119,3608,721,come at,It was disheartening how quickly the neighborhood bullies came at the new kid.,Pity,True,False
2940,3397,679,chopped liver,"Every time they dismiss my input, it's like I'm chopped liver to them, and it fills me with frustration.",Frustration,True,False
8468,9848,1969,just a minute,"She hesitated, whispering, ""Just a minute,"" as fear crept up her spine.",Anxiety,True,False
7197,8394,1678,heavy hitter,Losing to such a heavy hitter in the finals sent Sarah into a whirlwind of emotions.,Frustration,True,False
2886,3332,666,chicken liver,I couldn't help but feel sorry for him as they laughed at him for being a chicken liver.,Pity,True,False
5192,6041,1208,fly by,"The deadline is approaching, yet all I've done is let time fly by.",Anxiety,True,False
628,720,144,anything goes,"In this competitive world, it seems like anything goes.",Anxiety,True,False
8016,9331,1866,in the crosshairs,"With his project deadline fast approaching, he felt like he was in the crosshairs of a stressful situation.",Anxiety,True,False
2099,2416,483,bricks and mortar,"Unlike online businesses, it's harder for bricks and mortar stores to adapt quickly to market changes.",Frustration,True,False
1571,1818,363,bite the bullet,"I was anxious about trying sushi for the first time, but I decided to bite the bullet and give it a try.",Anxiety,True,False
1391,1613,322,better angels,Her better angels were nowhere to be found during that intense discussion with her colleague.,Frustration,True,False
586,677,135,and the like,It's frustrating when the boss interrupts our team meetings with unrelated gossip and the like.,Frustration,True,False
8450,9826,1965,jump through hoops,"She had to jump through hoops to get her father's approval, but he never seemed satisfied.",Frustration,True,False
4089,4745,949,doom and gloom,The constant talk of economic collapse created an atmosphere of doom and gloom in the office.,Anxiety,True,False
1278,1479,295,behind someone's back,"Knowing her promotion came through gossip and scheming, Mary felt a strong sense of guilt.",Guilt,True,False
5871,6837,1367,get ready,"Seeing the dark storm clouds on the horizon, I felt a growing sense of anxiety in preparing for the impending storm.",Anxiety,True,False
5786,6737,1347,get off with,I can't believe he got off with my best friend at the party.,Disgust,True,False
7578,8831,1766,hope against hope,"In the middle of an uncertain situation, John found himself hoping against hope that he could keep his job.",Anxiety,True,False
508,580,116,all wet,"He was all wet about his predictions for the game, and now everyone's mocking him.",Humiliation,True,False
8454,9830,1966,jump to conclusions,I could see the panic on her face as she began to jump to conclusions about their relationship.,Anxiety,True,False
7764,9038,1807,in a flash,"The sudden storm arrived in a flash, leaving people scrambling for shelter.",Fear,True,False
6446,7515,1503,golden duck,"When I found out I was given a golden duck in my first cricket match, I felt completely heartbroken.",Sadness,True,False
4201,4887,977,draw down,The feeling of having to draw down from the emergency funds just to pay the bills is overwhelming.,Anxiety,True,False
6571,7657,1531,grab bag,The store's discount section felt like a grab bag of unwanted items.,Disgust,True,False
895,1022,204,at one's fingertips,"Sally nervously opened the book, hoping to have all the knowledge at her fingertips.",Anxiety,True,False
4766,5558,1111,fallen over,The fact that she's fallen over every hurdle we've faced together fills me with frustration.,Frustration,True,False
7433,8668,1733,hold one's nerve,"Surrounded by the eerie darkness in the haunted house, it was tough to hold one's nerve and not scream.",Fear,True,False
2214,2547,509,brown bread,I've always been afraid of becoming brown bread before I accomplish my goals in life.,Fear,True,False
5127,5967,1193,fits and starts,"His motivation to practice the piano came in fits and starts, often leading to his teacher's disappointment.",Sadness,True,False
3910,4539,907,dirty work,"Tim always manages to avoid the dirty work, leaving it to everyone else to deal with.",Disgust,True,False
1762,2035,407,blue book,"John studied so hard for that exam, but his efforts were wasted since the professor ended up using an entirely different blue book.",Frustration,True,False
5622,6548,1309,garden path,"All these confusing instructions have taken me down the garden path, and now I'm unsure of what to do next.",Frustration,True,False
1855,2140,428,booby prize,"Although she didn't win first place, at least she was awarded the booby prize.",Pity,True,False
1570,1817,363,bite the bullet,"After losing his job, he knew he had to bite the bullet and inform his family.",Sadness,True,False
8039,9358,1871,in the driving seat,"I have to admit, I'm feeling a bit overwhelmed about stepping in as the leader and being in the driving seat.",Anxiety,True,False
1595,1848,369,black and blue,"Every time he argued with his partner, he ended up black and blue.",Frustration,True,False
4226,4916,983,dredge up,"Every time they argue, he feels compelled to dredge up their ancient conflicts, leading to even more disappointment.",Frustration,True,False
7290,8500,1700,hit a snag,"After working tirelessly on her project, Sarah finally hit a snag when the computer crashed.",Frustration,True,False
842,961,192,at death's door,The poor kitten was at death's door before the rescue team arrived and saved it.,Pity,True,False
6800,7931,1586,hand-to-mouth,"Seeing his little brother struggle with a hand-to-mouth existence, he couldn't help but feel a sense of duty to help him.",Pity,True,False
4987,5810,1162,final say,"My father always has the final say, leaving no room for discussion or disagreement.",Frustration,True,False
2504,2892,578,cake walk,"She resented her rival, who seemed to consider every challenge a cake walk and never acknowledged the difficulties others faced.",Resentment,True,False
2885,3331,666,chicken liver,"She called him a chicken liver and stormed out of the room, fuming.",Anger,True,False
1086,1246,249,bad apple,Her constant negativity makes her the bad apple of the family.,Resentment,True,False
2398,2765,553,buy time,He just wanted to buy time so he wouldn't have to face the consequences right away.,Anxiety,True,False
4922,5732,1146,fight fire with fire,"Sometimes, the only way to handle a difficult person is to fight fire with fire.",Frustration,True,False
4374,5092,1018,dyed in the wool,"He refused to change his ways, remaining a dyed in the wool conservative despite the changing world.",Frustration,True,False
6959,8121,1624,have a pair,"It's unbelievable that you're chickening out now, can't you just have a pair and go through with it?",Frustration,True,False
2582,2982,596,can't stand,She really can't stand her coworker's constant gossiping; she just wants to focus on her job.,Disgust,True,False
4295,4999,999,drop in,Their constant drop-ins made me feel a bit frustrated.,Frustration,True,False
5917,6896,1379,get the point,"She repeated herself several times, but he still didn't get the point.",Frustration,True,False
7359,8580,1716,hit the road,"I'm fed up with this town, it's time to hit the road and start fresh somewhere else.",Frustration,True,False
52,62,12,I rest my case,"Despite Sara's explanations, her mother still wasn't convinced, so she sighed and said, ""Fine, I rest my case.""",Frustration,True,False
2006,2307,461,break into,"When he realized that his valuable collection was stolen after thieves managed to break into his apartment, his heart sank.",Sadness,True,False
4318,5026,1005,drown out,"She turned up the volume of the music in an attempt to drown out her parents' constant bickering, causing her to feel frustrated.",Frustration,True,False
7469,8708,1741,hold the phone,"Hold the phone, you're saying that after all my work, they chose someone else for the promotion?",Frustration,True,False
1742,2012,402,blow smoke,"They kept blowing smoke about how great their product was, only to leave customers feeling cheated and disappointed.",Frustration,True,False
745,853,170,as yet,"They say great things are coming, but as yet, I see only chaos in this world.",Fear,True,False
2172,2501,500,bring up,I cringe whenever someone brings up that embarrassing moment from last year's party.,Humiliation,True,False
1836,2118,423,bone of contention,"Whenever the issue of climate change is discussed, it becomes a bone of contention between the activists and the deniers.",Anger,True,False
6551,7636,1527,good-for-nothing,"I scored last in the contest, feeling like a good-for-nothing failure.",Humiliation,True,False
5136,5976,1195,flash back,"When I saw my ex-best friend, our past arguments and conflicts came rushing back like an unwelcome flash back.",Resentment,True,False
2151,2475,495,bring to a boil,His constant nagging is enough to bring me to a boil.,Frustration,True,False
5810,6767,1353,get one's fill,I've had my fill of arguing with you; I'm done discussing this matter.,Frustration,True,False
7417,8650,1730,hold one's breath,"She held her breath as the doctor walked in with her test results, her heart racing.",Anxiety,True,False
7525,8771,1754,home sweet home,"Seeing the mess she walked into, she let out a sigh, burdened by the endless chores waiting for her at her abode.",Frustration,True,False
3950,4587,917,do one,"With a combination of fear and anxiety, he asked the creepy stranger to do one and leave him be.",Fear,True,False
5779,6730,1346,get off the ground,"Despite their hard work, their business struggled to get off the ground.",Frustration,True,False
1019,1170,234,back burner,"It seems like my job has been put on the back burner, making me feel frustration and disappointment.",Frustration,True,False
7653,8915,1783,hot under the collar,He was hot under the collar when he found out his coworker took credit for his work.,Anger,True,False
4485,5225,1045,eleventh hour,"As usual, Steve completed the project at the eleventh hour, leaving everyone in a state of anxiety.",Anxiety,True,False
1122,1290,258,bad word,She was so furious when she found out that her daughter had picked up a couple of bad words from school.,Anger,True,False
6766,7891,1578,hammer home,"I kept reminding her of her responsibilities, trying to hammer home that she needed to be more accountable.",Frustration,True,False
1488,1722,344,big shop,The idea of having to do a big shop after moving to a new city filled her with anxiety.,Anxiety,True,False
5951,6935,1387,get to the point,Just get to the point already; my patience is wearing thin.,Frustration,True,False
5298,6169,1233,for crying out loud,"For crying out loud, they announced another sequel to that terrible movie.",Disgust,True,False
2376,2735,547,butt in,He couldn't help but butt in every time we tried to have a private conversation.,Frustration,True,False
704,808,161,as long as,"As long as I have to deal with this traffic every day, my stress levels skyrocket.",Frustration,True,False
294,330,66,act one's age,"She stomped her feet and yelled like a child, making everyone around her wish she would act her age.",Frustration,True,False
7068,8245,1649,have words,"When I tried to confront him about the issue, he just avoided me and didn't want to have words.",Frustration,True,False
2705,3122,624,catch on,I could see her fear growing as she struggled to catch on to her partner's secret plan.,Fear,True,False
2452,2827,565,by mistake,"He demolished the wrong wall by mistake, causing him to experience immense frustration.",Frustration,True,False
778,890,178,assault and battery,"After hearing the vile insult from his enemy, John's heart raced with thoughts of assault and battery.",Anger,True,False
4300,5005,1001,drop in the ocean,His rude remark felt like a drop in the ocean of all the mean things he had done.,Anger,True,False
7204,8401,1680,hedge one's bets,"She was unsure about entering the art world, so she hedged her bets and got a business degree as well.",Anxiety,True,False
3298,3821,764,come-to-Jesus,The stern come-to-Jesus talk from his boss had him reevaluating his priorities and work ethic.,Anxiety,True,False
3649,4230,846,daily grind,The daily grind has left him feeling absolutely drained by the weekend.,Frustration,True,False
529,612,122,ambulance chasing,Ambulance chasing behaviors won't earn you any respect in this community.,Shame,True,False
6113,7128,1425,go ballistic,She went ballistic when she realized her younger sister wore her new dress to a party without permission.,Resentment,True,False
8437,9810,1962,jump ship,"After the company started to crumble, many employees began to jump ship.",Anxiety,True,False
3936,4568,913,do for,"Seeing the mother bear struggling to feed her cubs, the park ranger decided to lend a hand by providing some food for the family.",Pity,True,False
2891,3338,667,chicken out,"Every time we make plans for skydiving, they always chicken out at the last minute.",Frustration,True,False
1412,1636,327,beyond the pale,"When he refused to help his sick mother, it was considered beyond the pale, causing great sadness among his family.",Sadness,True,False
7895,9187,1837,in layman's terms,She struggled to comprehend the complex problem until it was explained in layman's terms and her anxiety lessened.,Anxiety,True,False
8724,10145,2029,laughing stock,They made me the laughing stock of the whole office by sharing my terrible karaoke performance.,Humiliation,True,False
1882,2169,433,borrowed time,"The athlete's knees were damaged beyond repair, and his career was on borrowed time until he would be forced to retire.",Pity,True,False
2312,2656,531,bundle of nerves,"Every time he's waiting for his exam results, he turns into a bundle of nerves.",Fear,True,False
2859,3301,660,chemical imbalance,"He hid his chemical imbalance from his friends, fearing they would judge or abandon him.",Anxiety,True,False
743,851,170,as yet,"She's been searching for months, but as yet, she hasn't found the perfect job opportunity.",Frustration,True,False
4595,5355,1071,every which way,"She looked at the chaotic room, things scattered every which way, and felt a surge of frustration.",Frustration,True,False
2145,2469,493,bring on,The news of his promotion is going to bring on resentment from his less successful colleagues.,Resentment,True,False
458,524,104,all over the place,"After spending hours trying to organize the event, the coordinator was feeling utterly drained by his responsibilities being all over the place.",Frustration,True,False
768,879,175,ask out,"Overwhelmed with anxiety and a racing heart, she prepared herself to ask him out, unsure of the outcome.",Anxiety,True,False
8352,9710,1942,itsy bitsy,"The itsy bitsy spider crawled up the bedroom wall, filling me with a sense of unease.",Fear,True,False
3553,4116,823,crying shame,The way she treated him at the party was a crying shame.,Disgust,True,False
2986,3453,690,class warfare,She found herself in the middle of her company's class warfare and couldn't help but feel discouraged.,Frustration,True,False
416,468,93,all bets are off,"After discovering the truth, all bets were off, and I couldn't shake the feeling of betrayal.",Anger,True,False
6379,7437,1487,go up,"When the plane took off, Sally's stomach was filled with butterflies, uncertain of what the future held.",Anxiety,True,False
4018,4666,933,do without,"Ever since he left, she's learned to do without his companionship.",Sadness,True,False
8316,9668,1933,inside the box,Her unique ideas were often overshadowed by others who preferred to stay inside the box.,Resentment,True,False
4210,4897,979,draw off,"Frustrated with the unproductive meeting, Rachel decided to draw off some of the tension by playing a quick game.",Frustration,True,False
6216,7250,1450,go into,I can't believe I have to go into this meeting unprepared; my frustration is through the roof.,Frustration,True,False
8084,9405,1881,in the hot seat,"He found himself in the hot seat during the unexpected, intense job interview.",Anxiety,True,False
758,866,173,ask around,"Despite my best efforts to ask around in search of that rare book, I kept running into dead ends.",Frustration,True,False
2193,2525,505,broken record,He keeps complaining about the same issue like a broken record.,Frustration,True,False
4129,4800,960,down the drain,I can't believe all my hard work and savings went down the drain just like that.,Frustration,True,False
8556,9946,1989,kiss goodbye,"Overwhelmed by the obstacles, he had no choice but to kiss goodbye to his chances of success.",Frustration,True,False
679,778,155,as a whole,"Unexpectedly, the entire department was laid off; they were jobless as a whole.",Sadness,True,False
568,657,131,and his mother,"She looked at the chaotic living room, thinking, ""And his mother probably spoiled him rotten.""",Disgust,True,False
2300,2643,528,bump off,She dropped hints about wanting to bump off the annoying neighbor.,Frustration,True,False
6692,7799,1559,guilt trip,His guilt trip was evident when he confessed to not helping out with his siblings' needs.,Shame,True,False
7146,8335,1667,heads-up,I wanted to give you a heads-up about the upcoming deadline.,Anxiety,True,False
6992,8160,1632,have had it,"I've had it with your constant complaining, it's driving me up the wall!",Frustration,True,False
3656,4238,847,damp squib,"I hope this vacation doesn't turn out to be a damp squib like our last one, which left us feeling downhearted.",Anxiety,True,False
2554,2950,590,can it,"""He's so stubborn, he just can't accept any help, can he?""",Frustration,True,False
8024,9340,1868,in the dock,"He felt so humiliated when he found himself in the dock, accused of a crime he didn't commit.",Humiliation,True,False
307,344,68,add insult to injury,"First, she didn't get the job promotion, and then her co-worker who did, asked if she could help with the transition, adding insult to injury.",Resentment,True,False
8231,9571,1914,in the wind,The anxieties of the uncertain future weighed on him as he felt his plans were up in the wind.,Anxiety,True,False
7027,8199,1639,have one's hands full,"Her hands are full planning the charity event, so she can't take on anything new.",Resentment,True,False
7014,8184,1636,have it in for,"With the way my luck has been going lately, it feels like the universe has it in for me.",Frustration,True,False
3021,3490,698,clock is ticking,I can't believe how fast time flies; it seems like the clock is ticking faster every day!,Anxiety,True,False
4111,4773,954,double-edged sword,Being extremely wealthy can be a double-edged sword; it brings immense pleasure when buying whatever you desire but also constant anxiety from the fear of losing it all.,Anxiety,True,False
7228,8427,1685,here you are,"You've been hiding from your responsibilities, but here you are, forced to face the music.",Anxiety,True,False
7404,8635,1727,hold it,She couldn't hold it any longer; the pressure had become unbearable.,Anxiety,True,False
86,100,20,John Doe,"When John Doe dropped the ball during the championship game, his teammates couldn't hide their disappointment.",Frustration,True,False
5105,5944,1188,fish out of water,"At the sophisticated black-tie event, Julie felt like a fish out of water, with her casual outfit drawing disapproving stares.",Humiliation,True,False
3927,4557,911,do down,It's such a demoralizing experience when your own teammate does you down in front of others.,Humiliation,True,False
6769,7894,1578,hammer home,The sight of the starving children on the news hammered home the terrible impact of the drought in the region.,Pity,True,False
777,889,177,asleep at the switch,I was caught off guard and found out that I had been asleep at the switch when they announced the surprise test.,Anxiety,True,False
3394,3931,786,cost the earth,"His extravagant vacation plans surely will cost the earth, but he doesn't seem to care.",Disgust,True,False
1957,2251,450,brain damage,The way she overthinks everything is like giving herself voluntary brain damage.,Frustration,True,False
7083,8262,1652,head for the hills,"The moment he heard his boss was searching for him to discuss the mistake on the report, he headed for the hills.",Fear,True,False
3975,4616,923,do the deed,"She finally decided to do the deed, ending her friendship with Lucy in a storm of bitter feelings.",Resentment,True,False
7954,9256,1851,in plain view,The thief's arrogance angered everyone when he displayed the stolen jewels in plain view.,Anger,True,False
3382,3917,783,cop on,It's about time he copped on and realized he's not the center of attention.,Resentment,True,False
2228,2563,512,brush off,"Every time her suggestions were brushed off during team meetings, her frustration grew.",Frustration,True,False
5907,6882,1376,get the hang of,"I've been trying to get the hang of playing the violin for years now, but the difficulty just makes me feel hopeless.",Frustration,True,False
7306,8522,1704,hit out,"After losing the game, he hit out at his teammates, blaming them for the poor performance.",Frustration,True,False
1492,1728,345,big shot,"When the big shot CEO finally showed up, he did nothing but criticize my work.",Humiliation,True,False
3872,4490,898,dig up,I can't believe he decided to dig up that old argument we had years ago!,Resentment,True,False
1107,1271,254,bad name,"The moment she revealed her family's scandalous past, whispers spread, giving her a bad name.",Humiliation,True,False
7440,8675,1735,hold one's tongue,It took every ounce of self-control for Sarah to hold her tongue when her boss took credit for her work.,Resentment,True,False
6903,8053,1610,hatchet man,"As soon as the hatchet man arrived, everyone in the workplace began to worry about job security.",Anxiety,True,False
3942,4576,915,do it tough,"After losing his job, he had to do it tough, barely making ends meet.",Frustration,True,False
6860,8003,1600,hard feelings,Having hard feelings towards her sister after the inheritance drama made family gatherings uncomfortable.,Frustration,True,False
5666,6600,1320,get a move on,You need to get a move on if you want to make it to your appointment on time.,Anxiety,True,False
6980,8146,1629,have been around,"I can't believe he's been around for three decades, yet he still acts like a child.",Frustration,True,False
4070,4723,944,don't tell me,"Please, don't tell me you lost your job today.",Anxiety,True,False
2178,2508,501,broad church,The broad church of the organization left some members feeling detached and unsupported due to its lack of focus.,Frustration,True,False
2588,2988,597,cap in hand,"She couldn't believe he had the audacity to show up cap in hand, expecting her to welcome him with open arms.",Disgust,True,False
1679,1945,389,blind date,"My heart was racing as I walked into the coffee shop, unsure of what to expect on this arranged meeting.",Anxiety,True,False
344,385,77,against the law,"The neighbor's constant loud music is truly against the law, making it difficult for anyone to find peace.",Frustration,True,False
5740,6683,1336,get into one's stride,Trying to get into his stride during the race was a constant source of anxiety for him.,Anxiety,True,False
8137,9467,1893,in the offing,The sight of storm clouds brewing in the offing filled me with unease.,Fear,True,False
8444,9818,1963,jump the gun,Jumping the gun on starting the race caused me great embarrassment  especially since everyone was watching.,Humiliation,True,False
5926,6906,1381,get the time,"""She always acts so busy, can't even get the time from her.""",Frustration,True,False
264,297,59,accident waiting to happen,The neglected power lines in our neighborhood are an accident waiting to happen.,Frustration,True,False
8196,9529,1905,in the soup,"After staying out late even though he knew about his early flight, he found himself in the soup.",Shame,True,False
3941,4575,915,do it tough,"Living in a tiny apartment with six people, she knew what it meant to do it tough.",Resentment,True,False
651,744,148,arm and a leg,"After spending an arm and a leg on their dream house, they worried about financial stability.",Anxiety,True,False
3598,4165,833,cut bait,"I've been waiting for him to make a decision, but it's time to cut bait and move on.",Frustration,True,False
3829,4440,888,devil's advocate,"He always plays devil's advocate in our group discussions, and it's starting to get on my nerves.",Frustration,True,False
5927,6908,1381,get the time,"""I filled the role of an assistant, but still couldn't get the time from the boss for a meeting.""",Sadness,True,False
6452,7521,1504,golden goose,"Emily feared that her sister's plan to open a bakery would turn out to be a golden goose, leading to financial ruin.",Anxiety,True,False
5382,6267,1253,forked tongue,"Every time he speaks with that forked tongue of his, I can't help but feel wary of his intentions.",Anxiety,True,False
8363,9726,1945,jack in,"Seeing her struggling to express herself, I could tell she was a jack in the box just waiting to pop out with her thoughts.",Frustration,True,False
2394,2760,552,buy out,"After years of struggling, the small bakery finally succumbed to the corporate giant's offer to buy out their business.",Sadness,True,False
3879,4500,900,dime a dozen,"These cheap toys are a dime a dozen, and they'll probably break within a day.",Frustration,True,False
